"","V1","V2","V3","V4"
"1",FALSE,FALSE,FALSE,FALSE
"2",FALSE,FALSE,FALSE,FALSE
"3",FALSE,FALSE,FALSE,FALSE
"4",FALSE,FALSE,FALSE,FALSE
"5",TRUE,TRUE,TRUE,TRUE
"6",FALSE,FALSE,FALSE,FALSE
"7",FALSE,FALSE,FALSE,FALSE
"8",TRUE,TRUE,TRUE,TRUE
"9",FALSE,FALSE,FALSE,FALSE
"10",FALSE,FALSE,FALSE,FALSE
"11",FALSE,FALSE,FALSE,FALSE
"12",FALSE,FALSE,FALSE,FALSE
"13",FALSE,FALSE,FALSE,FALSE
"14",FALSE,FALSE,FALSE,FALSE
"15",TRUE,TRUE,TRUE,TRUE
"16",FALSE,FALSE,FALSE,FALSE
"17",FALSE,FALSE,FALSE,FALSE
"18",FALSE,FALSE,FALSE,FALSE
"19",FALSE,FALSE,FALSE,FALSE
"20",FALSE,FALSE,FALSE,FALSE
"21",FALSE,FALSE,FALSE,FALSE
"22",FALSE,FALSE,FALSE,FALSE
"23",FALSE,FALSE,FALSE,FALSE
"24",FALSE,FALSE,FALSE,FALSE
"25",FALSE,FALSE,FALSE,FALSE
"26",TRUE,TRUE,TRUE,TRUE
"27",FALSE,FALSE,FALSE,FALSE
"28",FALSE,FALSE,FALSE,FALSE
"29",FALSE,FALSE,FALSE,FALSE
"30",FALSE,FALSE,FALSE,FALSE
"31",FALSE,FALSE,FALSE,FALSE
"32",FALSE,FALSE,FALSE,FALSE
"33",FALSE,FALSE,FALSE,FALSE
"34",FALSE,FALSE,FALSE,FALSE
"35",FALSE,FALSE,FALSE,FALSE
"36",FALSE,FALSE,FALSE,FALSE
"37",FALSE,FALSE,FALSE,FALSE
"38",FALSE,FALSE,FALSE,FALSE
"39",FALSE,FALSE,FALSE,FALSE
"40",FALSE,FALSE,FALSE,FALSE
"41",FALSE,FALSE,FALSE,FALSE
"42",FALSE,FALSE,FALSE,FALSE
"43",FALSE,FALSE,FALSE,FALSE
"44",FALSE,FALSE,FALSE,FALSE
"45",FALSE,FALSE,FALSE,FALSE
"46",FALSE,FALSE,FALSE,FALSE
"47",FALSE,FALSE,FALSE,FALSE
"48",FALSE,FALSE,FALSE,FALSE
"49",FALSE,FALSE,FALSE,FALSE
