"","V1","V2","V3","V4"
"ids1",0,1,0,0
"ids2",0,2,1,0
"ids3",0,1,1,0
"ids4",0,0,0,0
"ids5",1,8,7,0
"ids6",0,0,1,1
"ids7",1,1,0,1
"ids8",6,2,0,1
"ids9",0,0,1,2
"ids10",0,1,0,2
"ids11",2,0,0,2
"ids12",0,0,0,0
"ids13",0,2,2,0
"ids14",0,4,2,0
"ids15",0,1,0,2
"ids16",1,4,4,1
"ids17",2,2,0,3
"ids18",0,0,2,1
"ids19",1,3,0,1
"ids20",0,1,1,1
"ids21",0,1,0,0
"ids22",0,1,0,1
"ids23",0,1,1,2
"ids24",0,3,0,0
"ids25",0,0,1,0
"ids26",27,0,0,0
"ids27",1,1,0,4
"ids28",0,3,0,0
"ids29",0,2,0,0
"ids30",2,0,0,1
"ids31",1,1,1,0
"ids32",2,0,3,1
"ids33",1,0,0,0
"ids34",4,5,3,16
"ids35",0,1,2,0
"ids36",1,3,0,0
"ids37",1,2,3,3
"ids38",2,0,1,0
"ids39",2,7,0,0
"ids40",1,0,0,0
"ids41",0,1,0,1
"ids42",1,0,0,0
"ids43",0,3,0,0
"ids44",2,2,0,8
"ids45",0,0,1,2
"ids46",0,2,1,0
"ids47",0,3,0,0
"ids48",0,1,0,1
"ids49",0,0,0,0
"ids50",1,0,1,2
"ids51",0,1,0,1
"ids52",0,2,0,2
"ids53",0,0,2,0
"ids54",1,4,3,2
"ids55",0,0,1,0
"ids56",0,0,3,0
"ids57",1,2,1,1
"ids58",0,1,0,1
"ids59",2,2,0,1
"ids60",0,1,1,0
"ids61",0,1,0,1
"ids62",0,1,0,0
"ids63",1,0,0,2
"ids64",1,1,0,0
"ids65",1,3,0,4
"ids66",0,0,1,3
"ids67",0,3,0,0
"ids68",0,0,0,1
"ids69",1,8,1,1
"ids70",1,0,3,0
"ids71",2,1,0,0
"ids72",1,1,0,0
"ids73",4,1,1,2
"ids74",1,2,0,0
"ids75",1,0,0,0
"ids76",2,0,1,0
"ids77",7,0,0,6
"ids78",0,0,1,0
"ids79",0,1,0,0
"ids80",0,1,2,0
"ids81",0,3,0,0
"ids82",1,3,0,1
"ids83",0,0,1,1
"ids84",0,1,0,0
"ids85",0,0,0,0
"ids86",2,0,0,0
"ids87",0,0,0,0
"ids88",2,0,1,0
"ids89",0,2,0,4
"ids90",2,0,0,8
"ids91",0,2,0,0
"ids92",0,0,1,0
"ids93",0,2,1,1
"ids94",0,0,2,0
"ids95",0,0,4,0
"ids96",0,0,0,0
"ids97",0,39,0,2
"ids98",0,2,3,0
"ids99",0,1,1,0
"ids100",1,0,1,0
"ids101",0,0,0,0
"ids102",0,0,0,0
"ids103",0,0,1,1
"ids104",1,0,0,0
"ids105",1,1,0,0
"ids106",1,0,0,0
"ids107",0,1,0,0
"ids108",4,3,2,0
"ids109",1,4,4,1
"ids110",0,0,0,1
"ids111",1,2,0,1
"ids112",6,0,1,5
"ids113",3,2,1,1
"ids114",0,0,4,0
"ids115",1,0,0,1
"ids116",0,0,2,1
"ids117",0,3,0,1
"ids118",4,0,0,1
"ids119",0,1,0,2
"ids120",1,2,1,0
"ids121",0,1,2,5
"ids122",0,1,0,1
"ids123",0,3,0,1
"ids124",3,5,0,0
"ids125",1,0,0,0
"ids126",2,0,1,0
"ids127",1,0,7,1
"ids128",1,0,1,1
"ids129",0,0,0,0
"ids130",0,1,0,0
"ids131",3,0,0,5
"ids132",0,1,0,4
"ids133",3,0,0,0
"ids134",0,1,1,0
"ids135",0,2,0,2
"ids136",1,2,1,1
"ids137",0,0,0,1
"ids138",1,1,2,0
"ids139",0,3,1,2
"ids140",1,1,0,0
"ids141",1,1,0,1
"ids142",2,3,0,0
"ids143",1,2,1,0
"ids144",0,1,0,0
"ids145",0,0,1,0
"ids146",0,0,2,1
"ids147",0,1,0,4
"ids148",1,0,0,0
"ids149",1,1,0,0
"ids150",1,0,0,0
"ids151",0,1,0,0
"ids152",0,1,0,2
"ids153",1,1,2,0
"ids154",1,0,0,0
"ids155",0,2,0,4
"ids156",0,0,0,2
"ids157",1,1,0,0
"ids158",1,1,1,1
"ids159",2,0,0,1
"ids160",1,0,2,0
"ids161",7,3,20,9
"ids162",1,2,2,1
"ids163",1,0,0,1
"ids164",1,0,1,3
"ids165",5,4,2,0
"ids166",0,0,0,0
"ids167",2,1,2,0
"ids168",1,0,0,0
"ids169",0,1,0,1
"ids170",0,1,2,0
"ids171",1,1,0,0
"ids172",0,1,0,0
"ids173",0,6,0,0
"ids174",4,0,0,0
"ids175",9,7,126,7
"ids176",1,0,1,0
"ids177",2,1,0,0
"ids178",0,0,0,0
"ids179",4,2,0,0
"ids180",0,3,0,0
"ids181",1,0,1,1
"ids182",2,1,1,0
"ids183",1,3,1,0
"ids184",2,1,0,1
"ids185",0,0,0,3
"ids186",2,0,2,1
"ids187",2,2,0,0
"ids188",1,1,0,1
"ids189",1,3,0,1
"ids190",1,0,0,0
"ids191",0,1,0,0
"ids192",0,3,0,0
"ids193",1,0,0,2
"ids194",0,2,0,1
"ids195",0,1,2,1
"ids196",0,1,0,1
"ids197",3,0,0,0
"ids198",1,1,1,0
"ids199",0,0,0,2
"ids200",3,1,0,0
"ids201",1,1,4,2
"ids202",0,20,0,1
"ids203",0,0,4,1
"ids204",1,0,2,0
"ids205",0,2,0,0
"ids206",2,2,0,1
"ids207",1,2,0,1
"ids208",0,0,0,0
"ids209",1,2,0,0
"ids210",0,0,1,0
"ids211",0,1,0,0
"ids212",2,2,0,1
"ids213",2,1,0,0
"ids214",1,0,1,1
"ids215",0,1,2,1
"ids216",0,1,0,0
"ids217",1,1,1,1
"ids218",1,0,1,0
"ids219",1,0,3,1
"ids220",1,4,0,0
"ids221",0,0,0,5
"ids222",2,2,0,2
"ids223",0,1,0,0
"ids224",0,1,4,1
"ids225",2,1,3,0
"ids226",0,4,0,0
"ids227",0,0,2,1
"ids228",0,0,3,2
"ids229",1,3,0,1
"ids230",5,3,1,1
"ids231",0,0,2,6
"ids232",0,2,1,1
"ids233",1,0,0,1
"ids234",0,2,0,0
"ids235",0,1,2,2
"ids236",1,0,0,3
"ids237",0,0,0,0
"ids238",0,0,1,0
"ids239",0,0,0,1
"ids240",1,1,2,0
"ids241",0,0,0,0
"ids242",0,1,2,0
"ids243",0,4,0,0
"ids244",0,0,1,1
"ids245",0,0,0,1
"ids246",1,0,1,1
"ids247",1,4,1,0
"ids248",0,4,1,0
"ids249",0,3,1,1
"ids250",1,0,2,0
"ids251",1,2,0,1
"ids252",1,1,2,0
"ids253",1,2,0,0
"ids254",0,2,0,0
"ids255",2,3,0,2
"ids256",0,1,1,0
"ids257",2,0,0,0
"ids258",1,0,0,2
"ids259",0,1,0,0
"ids260",0,0,2,2
"ids261",2,3,0,0
"ids262",0,1,0,0
"ids263",1,0,0,1
"ids264",1,1,0,1
"ids265",0,0,1,1
"ids266",0,0,0,0
"ids267",0,1,2,1
"ids268",0,1,0,0
"ids269",1,6,1,0
"ids270",2,0,0,0
"ids271",1,0,0,3
"ids272",1,0,1,0
"ids273",1,0,0,0
"ids274",2,1,0,0
"ids275",0,2,0,1
"ids276",3,0,0,0
"ids277",1,0,0,0
"ids278",0,2,1,2
"ids279",3,2,1,1
"ids280",0,1,0,0
"ids281",0,0,0,0
"ids282",0,1,0,0
"ids283",0,0,1,0
"ids284",0,1,2,0
"ids285",0,1,0,0
"ids286",1,1,0,0
"ids287",2,0,1,3
"ids288",0,2,2,0
"ids289",2,1,0,2
"ids290",7,1,1,0
"ids291",0,0,1,0
"ids292",18,7,14,0
"ids293",0,1,0,1
"ids294",2,0,3,2
"ids295",2,2,1,0
"ids296",0,1,1,0
"ids297",0,1,1,0
"ids298",2,5,0,2
"ids299",0,1,0,0
"ids300",0,1,0,0
"ids301",1,2,1,0
"ids302",0,6,1,0
"ids303",1,0,0,0
"ids304",1,2,0,2
"ids305",1,0,1,1
"ids306",0,2,0,0
"ids307",0,0,0,0
"ids308",0,0,2,1
"ids309",3,0,1,0
"ids310",0,0,0,0
"ids311",0,2,0,2
"ids312",0,1,1,0
"ids313",1,0,0,0
"ids314",2,0,4,2
"ids315",0,0,3,3
"ids316",0,0,1,2
"ids317",0,3,2,1
"ids318",2,0,0,1
"ids319",0,5,5,0
"ids320",0,1,1,2
"ids321",0,0,1,1
"ids322",1,0,3,0
"ids323",2,1,0,0
"ids324",0,1,1,0
"ids325",6,2,2,2
"ids326",0,4,4,2
"ids327",1,1,0,0
"ids328",1,3,2,0
"ids329",6,2,1,9
"ids330",1,2,3,1
"ids331",2,3,0,2
"ids332",2,2,1,0
"ids333",1,1,2,0
"ids334",0,1,0,4
"ids335",1,0,0,0
"ids336",1,4,0,1
"ids337",0,0,1,0
"ids338",2,0,0,1
"ids339",0,0,2,2
"ids340",1,2,2,0
"ids341",5,1,3,0
"ids342",0,0,0,0
"ids343",0,2,0,4
"ids344",1,1,1,0
"ids345",0,0,2,0
"ids346",1,3,0,1
"ids347",1,1,1,2
"ids348",0,0,0,1
"ids349",2,1,1,1
"ids350",0,2,2,1
"ids351",0,0,1,1
"ids352",0,3,0,0
"ids353",0,0,0,1
"ids354",3,2,0,1
"ids355",0,0,1,0
"ids356",6,1,5,0
"ids357",2,0,1,2
"ids358",1,2,0,0
"ids359",2,0,1,2
"ids360",1,1,0,0
"ids361",0,0,0,2
"ids362",1,2,2,1
"ids363",2,0,0,2
"ids364",2,1,1,4
"ids365",1,2,0,0
"ids366",0,1,1,1
"ids367",0,0,2,1
"ids368",2,0,1,0
"ids369",1,0,0,0
"ids370",0,1,0,2
"ids371",0,0,2,1
"ids372",1,2,0,0
"ids373",8,1,1,0
"ids374",0,0,0,0
"ids375",4,1,1,3
"ids376",0,0,0,0
"ids377",0,0,0,0
"ids378",31,3,5,1
"ids379",1,4,0,0
"ids380",8,6,0,2
"ids381",0,0,0,0
"ids382",2,0,1,1
"ids383",0,2,1,3
"ids384",0,0,1,0
"ids385",0,6,0,2
"ids386",1,0,1,0
"ids387",0,1,1,1
"ids388",0,2,0,0
"ids389",0,1,1,0
"ids390",0,1,4,2
"ids391",1,1,1,0
"ids392",5,16,4,4
"ids393",1,0,0,0
"ids394",0,0,0,1
"ids395",0,2,0,2
"ids396",6,3,0,1
"ids397",1,1,0,1
"ids398",0,2,0,1
"ids399",0,1,0,0
"ids400",2,0,2,0
"ids401",1,1,1,0
"ids402",0,2,1,0
"ids403",3,1,0,1
"ids404",2,0,0,1
"ids405",0,0,2,2
"ids406",0,1,1,1
"ids407",2,3,0,1
"ids408",0,0,0,0
"ids409",1,0,0,0
"ids410",0,1,0,1
"ids411",0,3,0,1
"ids412",3,1,0,2
"ids413",0,1,0,0
"ids414",0,2,1,0
"ids415",1,4,0,1
"ids416",2,0,1,2
"ids417",0,0,1,0
"ids418",1,0,1,0
"ids419",0,0,0,0
"ids420",1,0,1,1
"ids421",2,3,0,3
"ids422",1,7,1,0
"ids423",1,1,0,1
"ids424",1,2,0,3
"ids425",0,1,2,0
"ids426",0,6,0,2
"ids427",0,1,0,0
"ids428",0,2,0,1
"ids429",1,1,0,1
"ids430",2,3,0,0
"ids431",2,2,1,1
"ids432",1,0,0,0
"ids433",0,0,2,1
"ids434",0,1,0,2
"ids435",0,3,1,1
"ids436",1,1,0,0
"ids437",0,1,1,3
"ids438",1,0,1,2
"ids439",1,0,0,0
"ids440",1,0,4,0
"ids441",0,0,0,1
"ids442",0,2,0,0
"ids443",0,1,2,1
"ids444",0,0,0,5
"ids445",0,1,0,0
"ids446",5,13,0,4
"ids447",2,3,0,0
"ids448",1,1,2,1
"ids449",0,2,1,0
"ids450",0,3,0,1
"ids451",1,1,0,0
"ids452",0,0,0,1
"ids453",2,1,0,0
"ids454",1,1,0,1
"ids455",0,0,0,0
"ids456",0,0,2,2
"ids457",1,1,0,1
"ids458",0,1,0,0
"ids459",1,0,1,0
"ids460",0,0,0,1
"ids461",0,1,0,0
"ids462",1,2,0,1
"ids463",0,1,1,1
"ids464",4,0,2,0
"ids465",4,1,1,0
"ids466",2,2,1,0
"ids467",0,2,1,0
"ids468",11,2,0,0
"ids469",3,1,0,0
"ids470",1,0,0,0
"ids471",1,1,0,1
"ids472",0,0,0,0
"ids473",0,1,1,3
"ids474",0,3,1,0
"ids475",1,0,0,1
"ids476",1,1,0,1
"ids477",0,0,0,0
"ids478",1,0,1,1
"ids479",1,1,0,0
"ids480",0,0,0,0
"ids481",4,32,2,4
"ids482",0,0,0,0
"ids483",11,59,5,0
"ids484",0,3,0,0
"ids485",1,1,0,0
"ids486",1,3,2,2
"ids487",1,0,1,0
"ids488",0,2,0,0
"ids489",1,1,0,0
"ids490",0,0,0,3
"ids491",1,2,0,0
"ids492",4,1,0,0
"ids493",1,4,1,1
"ids494",1,1,0,0
"ids495",0,2,2,1
"ids496",0,0,2,0
"ids497",1,0,0,1
"ids498",0,0,2,1
"ids499",1,1,0,0
"ids500",0,1,1,8
"ids501",1,3,1,2
"ids502",0,2,1,0
"ids503",0,2,0,8
"ids504",1,1,1,1
"ids505",0,0,0,3
"ids506",0,7,0,11
"ids507",1,0,2,2
"ids508",0,0,4,0
"ids509",4,4,3,2
"ids510",0,0,2,0
"ids511",2,0,0,1
"ids512",0,1,0,2
"ids513",0,2,0,3
"ids514",3,2,0,2
"ids515",0,1,3,0
"ids516",3,2,1,1
"ids517",0,3,1,2
"ids518",1,2,1,2
"ids519",0,1,1,1
"ids520",0,1,2,3
"ids521",1,1,5,0
"ids522",7,1,1,1
"ids523",0,1,1,0
"ids524",3,0,2,0
"ids525",0,0,0,1
"ids526",1,0,1,0
"ids527",0,1,1,0
"ids528",1,2,2,0
"ids529",0,4,0,0
"ids530",0,1,0,0
"ids531",0,3,0,1
"ids532",1,1,0,1
"ids533",1,2,1,1
"ids534",1,1,2,2
"ids535",4,0,1,0
"ids536",1,0,0,0
"ids537",1,0,0,1
"ids538",2,0,2,1
"ids539",0,1,4,1
"ids540",2,3,0,4
"ids541",1,6,1,0
"ids542",1,1,0,0
"ids543",0,0,3,0
"ids544",3,0,0,0
"ids545",0,0,0,0
"ids546",0,0,0,0
"ids547",0,2,1,0
"ids548",1,0,1,0
"ids549",1,1,0,0
"ids550",3,0,0,1
"ids551",0,13,0,1
"ids552",0,1,3,1
"ids553",0,1,0,0
"ids554",0,0,1,0
"ids555",0,11,1,1
"ids556",0,0,3,0
"ids557",1,6,1,0
"ids558",2,0,0,0
"ids559",0,0,0,2
"ids560",1,1,0,1
"ids561",4,1,2,0
"ids562",1,8,1,0
"ids563",1,1,0,4
"ids564",3,6,0,1
"ids565",0,3,1,0
"ids566",1,0,0,0
"ids567",1,0,0,0
"ids568",1,2,0,1
"ids569",2,3,1,4
"ids570",6,1,0,1
"ids571",0,0,2,0
"ids572",1,0,3,1
"ids573",1,3,1,0
"ids574",0,0,1,0
"ids575",3,4,1,0
"ids576",0,1,0,0
"ids577",0,0,3,0
"ids578",2,0,1,0
"ids579",1,2,2,1
"ids580",0,3,0,3
"ids581",4,3,3,1
"ids582",0,2,0,0
"ids583",1,1,0,1
"ids584",0,1,2,0
"ids585",0,0,0,2
"ids586",4,1,1,0
"ids587",0,13,0,1
"ids588",0,1,2,0
